seed,trader_count,traditional_return_fwd,tokenized_return_fwd,spread_return_fwd,traditional_volatility_fwd,tokenized_volatility_fwd,spread_volatility_fwd,traditional_micro_return_fwd,tokenized_micro_return_fwd,spread_micro_return_fwd,traditional_stress_fwd,tokenized_stress_fwd,spread_stress_fwd
111,2000,33.055080461064534,22.601359356780716,-10.453721104283819,3.939126239358194,2.1724971691302075,-1.7666290702279865,2.671524454664098,12.548017847491689,9.87649339282759,84.16666666666667,35.833333333333336,-48.333333333333336
112,2000,9.584943375775111,3.5640298335879006,-6.020913542187211,3.717643441345203,5.183555655035292,1.465912213690089,11.615483669567261,6.155494211198542,-5.459989458368719,89.16666666666667,61.666666666666664,-27.500000000000007
113,2000,8.937641795176798,10.489851747057344,1.5522099518805454,3.201323969383533,4.798370336952472,1.5970463675689395,10.309612389180156,9.240754519433736,-1.0688578697464202,82.5,53.33333333333333,-29.16666666666667
114,2000,0.5729287639800962,6.306204851359953,5.733276087379857,3.2268932462515125,3.628481338997753,0.4015880927462403,10.01652104969204,2.5573972327178174,-7.459123816974222,93.33333333333333,40.833333333333336,-52.49999999999999
115,2000,5.13148973209363,0.7772780487576014,-4.354211683336029,2.916022871004606,3.7186554166365613,0.8026325456319552,7.200450247988144,2.295889308712651,-4.904560939275493,79.16666666666666,44.166666666666664,-34.99999999999999
116,2000,26.882840525442788,5.459950120943802,-21.422890404498986,3.36382213505092,5.7261454147158535,2.3623232796649334,7.169347762503664,8.006408034764313,0.8370602722606488,89.16666666666666,47.5,-41.66666666666666
117,2000,2.760005724595338,15.483388115833897,12.723382391238559,2.8335702030774583,3.889866607598376,1.0562964045209178,10.985698261357268,11.572028588947836,0.5863303275905682,62.5,62.5,0.0
118,2000,-6.122267033603846,6.216347473553063,12.338614507156908,2.761748555909597,4.826279698940521,2.064531143030924,10.065067495387003,6.725528166027228,-3.3395393293597753,61.66666666666667,42.5,-19.16666666666667
119,2000,2.8608899868850513,-2.200684605296188,-5.061574592181239,3.1106141988011973,2.273241477538669,-0.8373727212625282,9.909923967870672,1.3535882813427769,-8.556335686527895,71.66666666666667,35.833333333333336,-35.833333333333336
120,2000,4.360780891113025,10.970342373032471,6.609561481919446,3.305492891718874,2.607528708747982,-0.697964182970892,12.240065323897653,3.706432513263236,-8.533632810634417,87.5,46.666666666666664,-40.833333333333336
121,2000,2.0148698710323654,28.24337037897291,26.228500507940545,3.5167754911066815,4.339739335898026,0.8229638447913441,12.216436177676604,14.945214211101598,2.7287780334249945,90.83333333333334,51.66666666666667,-39.16666666666667
122,2000,-3.979766840046828,9.441359262934878,13.421126102981706,3.21501206235968,3.0333740638505695,-0.18163799850911033,11.561162353711696,6.2657686369838705,-5.295393716727825,85.0,41.666666666666664,-43.333333333333336
123,2000,9.356194176397302,21.00738801260349,11.651193836206186,2.7207480319565014,4.359003268743475,1.6382552367869736,12.419892335298632,9.407741507051504,-3.012150828247128,70.0,54.16666666666667,-15.833333333333329
124,2000,4.646541429412698,-3.4622071130443355,-8.108748542457034,3.352878221064252,3.632341494036604,0.2794632729723521,12.34591215184584,-4.181945531704501,-16.52785768355034,94.16666666666666,50.83333333333333,-43.33333333333333
125,2000,16.393223392948887,16.184651046029042,-0.20857234691984416,2.683523484515149,4.121114964670598,1.437591480155449,14.125989291456587,9.492567988424817,-4.633421303031771,61.666666666666664,80.0,18.333333333333336
126,2000,2.9028859937451745,7.120082772017988,4.217196778272814,2.994152719720052,2.8882394981635784,-0.10591322155647376,10.258494616964331,3.3327112724699237,-6.925783344494407,75.0,15.0,-60.0
127,2000,11.969565798827396,13.600137014905055,1.6305712160776586,3.617812410644801,2.343221504692189,-1.274590905952612,11.27729572545626,9.105759233362498,-2.171536492093761,81.66666666666666,21.666666666666664,-59.99999999999999
128,2000,15.99508247874979,-0.26159523826282394,-16.256677717012614,2.7648762022231117,3.688273795219378,0.9233975929962663,12.067440165560473,4.743012115645162,-7.324428049915311,68.33333333333334,39.166666666666664,-29.16666666666668
129,2000,-1.6193097170313697,8.679331160802484,10.298640877833854,3.264329822163122,3.2875527197813565,0.023222897618234484,10.763159023636915,5.833153581979955,-4.930005441656959,75.0,27.5,-47.5
130,2000,9.451682303727328,10.311544678824403,0.8598623750970749,3.664546273779571,5.22208432413283,1.5575380503532585,10.999699109442096,6.155009488447849,-4.844689620994247,90.0,55.833333333333336,-34.166666666666664
131,2000,-4.565130175890541,19.318397770223193,23.883527946113734,2.765291670515409,5.442153756739179,2.67686208622377,11.430973875062778,91.77777685789623,80.34680298283345,80.0,51.666666666666664,-28.333333333333336
132,2000,26.56423394825811,-1.1831612435510341,-27.747395191809144,3.734622254699026,2.080811420167323,-1.6538108345317033,20.044838646331087,1.589405899560603,-18.455432746770484,89.16666666666667,30.0,-59.16666666666667
133,2000,15.027297404459095,16.62384950883442,1.596552104375327,3.4992573682718477,4.526982236900682,1.0277248686288338,12.134849848621233,11.767856580232516,-0.3669932683887165,85.0,60.0,-25.0
