date,price
2020-08-01,356022.0
2020-09-01,359881.5
2020-10-01,363570.88
2020-11-01,366257.95
2020-12-01,368411.93
2021-01-01,370339.24
2021-02-01,373804.35
2021-03-01,379792.16
2021-04-01,385266.15
2021-05-01,390807.96
2021-06-01,394705.81
2021-07-01,397960.18
2021-08-01,399791.8
2021-09-01,401353.81
2021-10-01,401300.33
2021-11-01,402665.47
2021-12-01,404469.91
2022-01-01,406123.09
2022-02-01,410996.78
2022-03-01,413942.87
2022-04-01,420411.96
2022-05-01,422060.06
2022-06-01,417696.78
2022-07-01,414782.34
2022-08-01,410902.68
2022-09-01,409653.63
2022-10-01,406619.37
2022-11-01,404781.75
2022-12-01,403762.15
2023-01-01,400861.37
2023-02-01,404163.26
2023-03-01,408503.55
2023-04-01,412400.63
2023-05-01,417006.08
2023-06-01,418654.18
2023-07-01,420036.95
2023-08-01,418636.52
2023-09-01,418610.4
2023-10-01,418477.45
2023-11-01,418196.79
2023-12-01,417282.81
2024-01-01,414153.71
2024-02-01,419843.94
2024-03-01,421035.57
2024-04-01,425639.33
2024-05-01,427768.78
2024-06-01,428823.7
2024-07-01,427920.2
2024-08-01,427038.06
2024-09-01,427677.44
2024-10-01,426840.38
2024-11-01,426430.2
2024-12-01,425351.44
2025-01-01,423055.63
2025-02-01,424922.43
2025-03-01,427991.04
2025-04-01,429564.49
2025-05-01,430722.69
2025-06-01,429095.07
2025-07-01,426231.26
